!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
+++,PS00836,Fundamentals of the Nationalist Resurrection,,en,G99,PL0999,19xx,unknown,1926,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00836,建国大纲,,zh,G99,PL0999,19xx,unknown,1926,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00837,Seven Heroes and Five Gallants,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00837,七侠五义,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00838,World Culture,,en,G99,PL0002,19xx,Shijie chu ban she,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00838,世界知识,,zh,G99,PL0002,19xx,Shijie chu ban she,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00839,The Goddesses,,en,G10,PL0002,1953,Renmin wenxue chubanshe,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00839,女神,,zh,G10,PL0002,1953,Renmin wenxue chubanshe,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00840,The Five Heroes in the Eastern Capital,,en,G04,,,,,,PS00268,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00840,五鼠闹东京,,zh,G04,,,,,,PS00268,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00841,L‘Avare,,fr,G17,PL0003,1949,Kaiming shudian,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00841,吝嗇鬼,,zh,G17,PL0003,1949,Kaiming shudian,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00842,Left-Wing Communism,An Infantile Disorder,en,G01,PL0003,1949,Jiefang she,,,,,,,,2020-01-15,MG,2020-02-11,MG
+++,PS00842,共产主义运动中的“左派”幼稚病,,zh,G01,PL0003,1949,Jiefang she,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00843,Outline to Political Economy,,en,G24,PL0002,1977,Shang wu yin shu guan,,,,,,,,2020-01-15,MG,2020-02-04,MG
+++,PS00843,政治经济学大纲,,zh,G24,PL0002,1977,Shang wu yin shu guan,,,,,,,,2020-01-15,MG,2020-02-04,MG
+++,PS00844,Jiu Guo Shi Bao,,en,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00844,Au Secours de la Patrie,,fr,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00844,救国时报,,zh,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00845,Popular Life,,en,G55,PL0003,1981,Shanghai shu dian,1941,,,,,,,2020-02-01,MG,2020-02-01,MG
