!,,,,,+++,,,,,,,,,,+++,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,author,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,PS00830,Analysis of the Classes in Chinese Society,,en,P0174,G24,PL0002,1956,Foreign Language Press,,,,,,,,check for chinese version,2020-01-06,MG,2020-01-06,MG
+++,PS00831,Red Banner of Northern China,,en,I0999,G52,PL0002,,Zhongguo gong chan dang Hebei Sheng wei yuan hui,1932,,,,,,,check,2020-01-06,MG,2020-01-08,MG
+++,PS00831,北方红旗,,zh,I0999,G52,PL0002,,Zhongguo gong chan dang Hebei Sheng wei yuan hui,1932,,,,,,,,2020-01-06,MG,2020-01-08,MG
+++,PS00832,Ode to the West Wind,,en,P0431,G10,,,,,,PS00833,,,,,,2020-01-08,MG,2020-01-08,MG
+++,PS00832,西風頌,,zh,P0431,G10,,,,,,PS00833,,,,,,2020-01-08,MG,2020-01-08,MG
+++,PS00833,Prometheus Unbound,,en,P0431,G79,PL0999,19xx,unknown,1944?,,,,,,,check for chinese version,2020-01-08,MG,2020-01-08,MG
+++,PS00833,解放了的普罗米修斯,,zh,P0431,G79,PL0999,19xx,unknown,1944?,,,,,,,check again,2020-01-08,MG,2020-01-08,MG
+++,PS00834,A Short Course of Dialectics,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check,2020-01-08,MG,2020-01-08,MG
+++,PS00834,辩证法教程,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-01-08,MG,2020-01-08,MG
+++,PS00835,Three People’s Principles,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00835,三民主义,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00836,Fundamentals of the Nationalist Resurrection,,en,P1051,G99,PL0999,19xx,unknown,1926,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00836,建国大纲,,zh,P1051,G99,PL0999,19xx,unknown,1926,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00837,Seven Heroes and Five Gallants,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00837,七侠五义,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00838,World Culture,,en,P0999,G99,PL0002,19xx,Shijie chu ban she,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00838,世界知识,,zh,P0999,G99,PL0002,19xx,Shijie chu ban she,,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00839,The Goddesses,,en,P0641,G10,PL0002,1953,Renmin wenxue chubanshe,,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00839,女神,,zh,P0641,G10,PL0002,1953,Renmin wenxue chubanshe,,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00840,The Five Heroes in the Eastern Capital,,en,P0296,G04,,,,,,PS00268,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00840,五鼠闹东京,,zh,P0296,G04,,,,,,PS00268,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00841,L‘Avare,,fr,P1052,G17,PL0003,1949,Kaiming shudian,,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00841,吝嗇鬼,,zh,P1052,G17,PL0003,1949,Kaiming shudian,,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00842,Left-Wing Communism,An Infantile Disorder,en,P0182,G01,PL0003,1949,Jiefang she,,,,,,,,,2020-01-15,MG,2020-02-11,MG
+++,PS00842,共产主义运动中的“左派”幼稚病,,zh,P0182,G01,PL0003,1949,Jiefang she,,,,,,,,,2020-01-15,MG,2020-01-15,MG
+++,PS00843,Outline to Political Economy,,en,P1053,G24,PL0002,1977,Shang wu yin shu guan,,,,,,,,,2020-01-15,MG,2020-02-04,MG
+++,PS00843,政治经济学大纲,,zh,P1053,G24,PL0002,1977,Shang wu yin shu guan,,,,,,,,,2020-01-15,MG,2020-02-04,MG
+++,PS00844,Jiu Guo Shi Bao,,en,P0999,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,was published every 5 days; Jan. 4; 1936 - Feb. 10; 1938,,2020-02-01,MG,2020-02-01,MG
+++,PS00844,Au Secours de la Patrie,,fr,P0999,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,was published every 5 days; Jan. 4; 1936 - Feb. 10; 1938,,2020-02-01,MG,2020-02-01,MG
+++,PS00844,救国时报,,zh,P0999,G55,PL0002,1980,Renmin chubanshe,1935..1938,,,,,,was published every 5 days; Jan. 4; 1936 - Feb. 10; 1938,,2020-02-01,MG,2020-02-01,MG
+++,PS00845,Popular Life,,en,P0999,G55,PL0003,1981,Shanghai shu dian,1941,,,,,,reprint of a periodical originally published weekly in Hong Kong by 大众生活社,,2020-02-01,MG,2020-02-01,MG
+++,PS00845,大众生活,,zh,P0999,G55,PL0003,1981,Shanghai shu dian,1941,,,,,,reprint of a periodical originally published weekly in Hong Kong by 大众生活社,,2020-02-01,MG,2020-02-01,MG
+++,PS00846,August The First Manifesto,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00846,八一宣言,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00847,Tsinghua Weekly,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00847,清华周刊,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00848,Life of Reading,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00848,读书生活,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-01,MG,2020-02-04,MG
+++,PS00849,A Midsummer Night‘s Dream,,en,P0339,G17,PL0002,1954,Zuojia chubanshe,,,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00849,仲夏夜之梦,,zh,P0339,G17,PL0002,1954,Zuojia chubanshe,,,,,,,,,2020-02-01,MG,2020-02-01,MG
+++,PS00850,七言诗,,zh,P0999,G10,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00851,A Singsong Girl,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00852,Tragic Love,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00853,Canonization of The Gods,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00853,封神X,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00854,How to Study The New Social Sciences,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
+++,PS00854,怎样研究新兴社会科学,,zh,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2020-02-04,MG,2020-02-04,MG
