!,,,,,,:,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,PS00558,NULL,NULL,en,I0114,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00558,NULL,NULL,zh,I0114,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00558,NULL,NULL,zh-Latn-pinyin,I0114,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00559,NULL,NULL,en,I0115,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00559,NULL,NULL,zh,I0115,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00559,NULL,NULL,zh-Latn-pinyin,I0115,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00560,NULL,NULL,en,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00560,NULL,NULL,zh,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00560,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00561,NULL,NULL,en,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00561,NULL,NULL,zh,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00561,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,PS00562,NULL,NULL,en,P0999,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00562,NULL,NULL,zh,P0999,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00562,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00563,NULL,NULL,en,P0625,,Translated by project member.,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00563,NULL,NULL,zh,P0625,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00563,NULL,NULL,zh-Latn-pinyin,P0625,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00564,NULL,NULL,en,I0116,,,,2018-11-25,WH,2018-11-25,MG
+++,NULL,PS00564,NULL,NULL,zh,I0116,,,,2018-11-25,WH,2018-11-25,MG
