work_id,old_id,type,type_num,language,creator,publication_date,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
W0176,PS00346,PS,346,en,AG0331,NULL,NULL,and AG0332,,2018-05-22,MG,2020-04-05,DP
W0177,PS00347,PS,347,fr,AG0333,NULL,NULL,,,2018-05-22,MG,2020-04-05,DP
W0178,PS00348,PS,348,de,AG0334,NULL,NULL,,,2018-05-22,MG,2020-04-05,DP
W0179,PS00349,PS,349,en,AG0336,NULL,NULL,,,2018-05-28,MG,2020-04-05,DP
W0180,PS00350,PS,350,fr,AG0342,NULL,NULL,,,2018-05-28,MG,2020-04-05,DP
W0181,PS00351,PS,351,fr,AG0342,NULL,NULL,,,2018-05-29,MG,2020-04-05,DP
W0182,PS00352,PS,352,en,AG0345,NULL,NULL,earlier editions were published in Taipei in 1955,,2018-06-01,MG,2020-04-05,DP
W0183,PS00353,PS,353,fr,AG0346,NULL,NULL,,,2018-06-01,MG,2020-04-05,DP
W0184,PS00354,PS,354,en,AG0347,NULL,NULL,,,2018-06-01,MG,2020-04-05,DP
W0185,PS00355,PS,355,en,AG0286,NULL,NULL,first russian publication in 1825,,2018-06-04,MG,2020-04-05,DP
W0186,PS00356,PS,356,en,AG0286,NULL,NULL,,,2018-06-04,MG,2020-04-05,DP
W0187,PS00357,PS,357,en,AG0286,NULL,NULL,,,2018-06-04,MG,2020-04-05,DP
W0188,PS00358,PS,358,en,AG0348,NULL,NULL,,,2018-06-04,MG,2020-04-05,DP
W0189,PS00359,PS,359,en,AG0351,NULL,NULL,,,2018-06-05,MG,2020-04-05,DP
W0190,PS00360,PS,360,en,AG0352,NULL,NULL,,,2018-06-05,MG,2020-04-05,DP
W0191,PS00361,PS,361,en,AG0383,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0192,PS00362,PS,362,fr,AG0385,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0193,PS00363,PS,363,en,AG0386,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0194,PS00364,PS,364,en,AG0386,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0195,PS00365,PS,365,de,AG0387,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0196,PS00366,PS,366,en,AG0391,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0197,PS00367,PS,367,en,AG0301,NULL,NULL,,,2018-05-31,DM,2020-04-05,DP
W0198,PS00368,PS,368,en,AG0256,NULL,NULL,,,2018-06-01,DM,2020-04-05,DP
W0199,PS00369,PS,369,en,AG0395,NULL,NULL,,,2018-06-01,DM,2020-04-05,DP
W0200,PS00370,PS,370,en,AG0398,NULL,NULL,,,2018-08-06,DM,2020-04-05,DP
W0201,PS00371,PS,371,en,AG0401,NULL,NULL,The book was published in the USSR in 1956/57. It took only two years for it to be translated and published in China.,,2018-08-06,DM,2020-04-05,DP
W0202,PS00372,PS,372,en,AG0402,NULL,NULL,Title translation needed.,,2018-11-15,DM,2020-04-05,DP
W0203,PS00373,PS,373,en,AG0403,NULL,NULL,,,2018-11-15,DM,2020-04-05,DP
W0204,PS00374,PS,374,en,AG0403,NULL,NULL,Translated by project member.,,2018-11-15,DM,2020-04-05,DP
W0205,PS00375,PS,375,en,AG0404,NULL,NULL,Official English translation missing.,,2018-11-17,DM,2020-04-05,DP
W0206,PS00376,PS,376,en,AG0405,NULL,NULL,,,2018-11-17,DM,2020-04-05,DP
W0207,PS00377,PS,377,en,AG0406,NULL,NULL,,,2018-11-17,DM,2020-04-05,DP
W0208,PS00379,PS,379,de,AG0410,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0209,PS00380,PS,380,en,AG0169,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0210,PS00381,PS,381,en,AG0412,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0211,PS00382,PS,382,en,AG0264,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0212,PS00383,PS,383,en,AG0413,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0213,PS00384,PS,384,en,AG0414,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0214,PS00385,PS,385,en,AG0414,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0215,PS00386,PS,386,en,AG0416,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0216,PS00387,PS,387,en,AG0417,NULL,NULL,,,2019-01-08,DM,2020-04-05,DP
W0217,PS00401,PS,401,fr,AG0443,NULL,NULL,,,2018-04-26,WH,2020-04-05,DP
W0218,PS00402,PS,402,de,AG0444,NULL,NULL,,,2018-04-26,WH,2020-04-05,DP
W0219,PS00403,PS,403,en,AG0168,NULL,NULL,,,2018-05-02,WH,2020-04-05,DP
W0220,PS00404,PS,404,zh,AG0168,NULL,NULL,,,2018-05-03,WH,2020-04-05,DP
W0221,PS00405,PS,405,en,AG0420,NULL,NULL,,,2018-05-03,WH,2020-04-05,DP
W0222,PS00406,PS,406,en,AG0421,NULL,NULL,,,2018-05-03,WH,2020-04-05,DP
W0223,PS00407,PS,407,en,AG0423,NULL,NULL,,,2018-06-21,WH,2020-04-05,DP
W0224,PS00408,PS,408,en,AG0054,NULL,NULL,,,2018-06-21,WH,2020-04-05,DP
W0225,PS00409,PS,409,en,AG0424,NULL,NULL,,,2018-07-09,WH,2020-04-05,DP
W0226,PS00410,PS,410,en,AG0054,NULL,NULL,,,2018-07-09,WH,2020-04-05,DP
W0227,PS00411,PS,411,en,AG0054,NULL,NULL,,,2018-07-10,WH,2020-04-05,DP
W0228,PS00412,PS,412,en,AG0054,NULL,NULL,,,2018-07-10,WH,2020-04-05,DP
W0229,PS00413,PS,413,en,AG0425,NULL,NULL,,,2018-07-10,WH,2020-04-05,DP
W0230,PS00414,PS,414,en,AG0237,NULL,NULL,,,2018-07-12,WH,2020-04-05,DP
W0231,PS00451,PS,451,en,AG0352,NULL,NULL,,,2018-06-05,MG,2020-04-05,DP
W0232,PS00452,PS,452,zh,AG0353,NULL,NULL,,,2018-06-05,MG,2020-04-05,DP
W0233,PS00453,PS,453,en,AG0354,NULL,NULL,,,2018-06-06,MG,2020-04-05,DP
W0234,PS00454,PS,454,en,AG0358,NULL,NULL,,,2018-06-11,MG,2020-04-05,DP
W0235,PS00455,PS,455,en,AG0358,NULL,NULL,,,2018-06-11,MG,2020-04-05,DP
W0236,PS00456,PS,456,en,AG0360,NULL,NULL,,,2018-06-11,MG,2020-04-05,DP
W0237,PS00457,PS,457,en,AG0364,NULL,NULL,,,2018-06-12,MG,2020-04-05,DP
W0238,PS00458,PS,458,en,AG0204,NULL,NULL,,,2018-06-12,MG,2020-04-05,DP
W0239,PS00459,PS,459,en,AG0368,NULL,NULL,,,2018-06-19,MG,2020-04-05,DP
