!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0063,zh,NULL,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2018-08-20,DP
,AG0063,P0064,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0064,zh,NULL,,Could not exactly locate Shuiyuan. Somewhere close to the Taihang mountains.,2017-07-05,LH,2018-11-01,MG
,AG0064,P0065,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0065,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0065,P0066,en,en,His father was Gan Chongdou.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0066,zh,NULL,His father was Gan Chongdou.,,2017-07-05,LH,2018-02-07,WH
,AG0066,P0067,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0067,zh,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0067,P0068,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0068,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0068,P0069,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0069,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0069,P0070,en,en,Grew up in Beijing. 抗日名将蒋光鼐之女,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0070,zh,NULL,Grew up in Beijing. 抗日名将蒋光鼐之女,,2017-07-05,LH,2018-01-26,WH
,AG0070,P0071,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0071,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0071,P0072,en,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0072,zh,NULL,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,Third source (from his student): http://tieba.baidu.com/p/137913504?traceid=,2017-07-05,LH,2018-03-13,WH
,AG0072,P0073,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0073,zh,NULL,,Third source: http://www.shuku.net/novels/zhuanji/czzdryfgywgdgrjy/yangr.html,2017-07-05,LH,2018-03-13,WH
+++,NULL,P0074,en,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0073,P0074,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0075,P0076,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0076,ky,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0076,zh,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0076,P0077,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0077,ru,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0077,zh,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0077,P0078,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0078,ru,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0078,zh,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0078,P0079,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0079,ru,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0079,zh,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0080,en,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0079,P0080,en,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0081,P0082,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0082,ru,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0082,zh,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0082,P0084,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0084,grc,NULL,,,2017-07-09,OS,2018-10-25,DP
,AG0083,P0085,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0085,ru,NULL,,,2017-07-09,OS,2018-01-26,WH
+++,NULL,P0085,zh,NULL,,,2017-07-09,OS,2018-01-26,WH
,AG0084,P0086,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0086,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0085,P0087,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0087,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0086,P0088,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0088,ru,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0088,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0087,P0089,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0089,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0088,P0090,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0090,zh,NULL,,,2017-07-10,OS,2018-10-25,DP
,AG0089,P0091,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0091,ru,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0091,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0090,P0092,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0092,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0091,P0093,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0093,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0092,P0094,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0094,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0093,P0095,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0095,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0094,P0096,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0096,ru,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0096,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0095,P0097,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0097,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0096,P0098,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0098,zh,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0097,P0099,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0099,zh,NULL,,,2017-07-10,OS,2018-03-13,WH
,AG0098,P0100,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0100,zh,NULL,,,2017-07-10,OS,2018-02-06,WH
,AG0099,P0101,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0101,zh,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0100,P0103,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0103,zh,NULL,,,2017-07-10,OS,2018-03-13,WH
,AG0101,P0104,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0104,zh,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0102,P0105,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0105,zh,NULL,,,2017-07-10,OS,2018-01-08,MG
,AG0103,P0106,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0106,zh,NULL,,,2017-07-12,OS,2018-01-08,MG
,AG0104,P0107,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0107,zh,NULL,,He interviewed 芒克.,2017-07-12,OS,2018-03-13,WH
,AG0105,P0108,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0108,zh,NULL,,,2017-07-12,OS,2019-04-28,WH
,AG0106,P0109,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0109,zh,NULL,,,2017-07-18,LH,2018-11-13,MG
,AG0107,P0110,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0110,ru,NULL,,,2017-07-19,LH,2018-01-08,MG
+++,NULL,P0110,zh,NULL,,,2017-07-19,LH,2018-01-08,MG
+++,NULL,P0115,en,NULL,,,2017-07-19,OS,2018-03-13,WH
+++,NULL,P0115,ru,NULL,,,2017-07-19,OS,2018-03-13,WH
,AG0109,P0115,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0116,en,NULL,,,2017-07-19,OS,2017-10-13,MG
,AG0110,P0116,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0117,en,NULL,,,2017-07-20,OS,2017-10-13,MG
,AG0111,P0117,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0118,en,NULL,,,2017-07-19,OS,2017-10-13,MG
+++,NULL,P0118,sr,NULL,,,2017-07-25,MG,2017-12-23,MG
,AG0112,P0118,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0119,en,NULL,黄炜华之子?,,2017-07-27,LH,2018-02-02,WH
,AG0113,P0119,zh,en,黄炜华之子?,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0120,en,NULL,,,2017-08-01,LH,2018-02-02,WH
,AG0114,P0120,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0130,en,NULL,,,2017-07-28,MG,2018-02-07,WH
,AG0115,P0130,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0131,en,NULL,父亲是著名历史学家李新,Third source: http://news.cyol.com/yuanchuang/2017-12/03/content_16742715.htm,2017-07-28,MG,2018-11-13,WH
,AG0116,P0131,zh,en,父亲是著名历史学家李新,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0132,en,NULL,,,2017-08-07,MG,2018-01-12,OS
,AG0117,P0132,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0133,en,NULL,,,2017-08-07,MG,2018-02-07,WH
,AG0118,P0133,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0134,en,NULL,,,2017-08-11,MG,2018-01-16,OS
,AG0119,P0134,zh,en,,,2020-04-02,DP,2020-04-02,DP
