!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0724,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0531,P0725,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0725,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0532,P0726,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0726,NULL,,,2018-11-08,WH,2018-11-08,WH
+++,NULL,P0726,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0533,P0727,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0727,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0534,P0728,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0728,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0535,P0729,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0729,NULL,,,2018-11-08,WH,2018-11-08,WH
,AG0536,P0730,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0730,NULL,,,2018-11-09,WH,2018-11-09,WH
,AG0537,P0731,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0731,NULL,,,2018-11-09,WH,2018-11-09,WH
,AG0538,P0732,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0732,NULL,,,2018-11-10,WH,2018-11-10,WH
,AG0539,P0733,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0733,NULL,,,2018-11-10,WH,2018-11-10,WH
,AG0540,P0734,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0734,NULL,,,2018-11-11,WH,2018-11-11,WH
,AG0541,P0735,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0735,NULL,,,2018-11-11,WH,2018-11-11,WH
,AG0542,P0736,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0736,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0543,P0737,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0737,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0544,P0738,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0738,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0545,P0739,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0739,NULL,,,2018-11-13,WH,2018-11-13,WH
,AG0546,P0740,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0740,NULL,,,2018-11-14,WH,2018-11-14,WH
+++,NULL,P0740,NULL,,,2018-11-14,WH,2018-11-14,WH
,AG0547,P0741,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0741,NULL,,,2018-11-14,WH,2018-11-14,WH
+++,NULL,P0741,NULL,,,2018-11-14,WH,2018-11-14,WH
,AG0548,P0742,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0742,NULL,,,2018-11-15,WH,2018-11-15,WH
,AG0549,P0743,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0743,NULL,,,2018-11-15,WH,2018-11-15,WH
,AG0550,P0744,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0744,NULL,,,2018-11-16,WH,2018-11-16,WH
,AG0551,P0745,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0745,NULL,,,2018-11-24,WH,2018-11-24,WH
,AG0552,P0746,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0746,NULL,,,2018-11-24,WH,2018-11-24,WH
+++,NULL,P0746,NULL,,,2018-11-24,WH,2018-11-24,WH
,AG0553,P0747,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0747,NULL,,,2018-11-25,WH,2019-01-26,WH
,AG0554,P0748,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0748,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0555,P0749,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0749,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0556,P0750,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0750,NULL,,,2018-11-25,WH,2018-11-25,WH
+++,NULL,P0751,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0557,P0751,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0559,P0753,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0753,NULL,,,2018-11-25,WH,2018-11-25,WH
+++,NULL,P0754,NULL,,,2018-11-25,WH,2018-11-25,WH
,AG0560,P0754,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0562,P0756,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0756,NULL,,,2018-12-15,WH,2018-12-15,WH
,AG0563,P0757,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0757,NULL,,,2018-12-15,WH,2018-12-15,WH
,AG0564,P0758,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0758,NULL,,,2018-12-16,WH,2018-12-16,WH
,AG0565,P0759,en,He was also rusticated in PL0541 between 1971 and 1972.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0759,NULL,He was also rusticated in PL0541 between 1971 and 1972.,,2018-12-16,WH,2018-12-16,WH
,AG0566,P0760,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0760,NULL,,,2018-12-16,WH,2018-12-16,WH
,AG0567,P0761,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0761,NULL,,,2018-12-17,WH,2018-12-17,WH
,AG0568,P0762,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0762,NULL,,,2018-12-17,WH,2018-12-17,WH
,AG0569,P0763,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0763,NULL,,,2018-12-22,WH,2018-12-22,WH
,AG0570,P0764,en,He was one of the editors of W0356.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0764,NULL,He was one of the editors of PS00579.,,2018-12-22,WH,2019-01-27,WH
,AG0571,P0765,en,He was one of the editors of W0356.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0765,NULL,He was one of the editors of PS00579.,,2018-12-22,WH,2019-01-27,WH
,AG0572,P0766,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0766,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0573,P0767,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0767,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0574,P0768,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0768,NULL,,,2018-12-23,WH,2018-12-23,WH
,AG0575,P0769,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0769,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0576,P0770,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0770,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0577,P0771,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0771,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0578,P0772,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0772,NULL,,,2018-12-24,WH,2018-12-24,WH
,AG0579,P0773,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0773,NULL,,,2019-01-25,WH,2019-01-25,WH
,AG0580,P0774,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0774,NULL,,,2019-01-26,WH,2019-01-26,WH
,AG0581,P0775,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0775,NULL,,,2019-01-26,WH,2019-01-26,WH
,AG0582,P0776,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0776,NULL,,,2019-01-28,WH,2019-01-28,WH
,AG0583,P0777,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0777,NULL,,,2019-01-29,WH,2019-02-17,WH
,AG0584,P0778,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0778,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0585,P0779,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0779,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0586,P0780,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0780,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0587,P0781,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0781,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0588,P0782,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0782,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0589,P0783,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0783,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0590,P0784,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0784,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0591,P0785,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0785,NULL,,,2019-02-17,WH,2019-02-17,WH
,AG0592,P0786,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0786,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0593,P0787,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0787,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0594,P0788,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0788,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0595,P0789,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0789,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0596,P0790,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0790,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0597,P0791,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0791,NULL,,,2019-02-23,WH,2019-02-23,WH
,AG0598,P0792,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0792,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0599,P0793,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0793,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0600,P0794,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0794,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0601,P0795,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0795,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0602,P0796,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0796,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0603,P0797,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0797,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0604,P0798,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0798,NULL,,,2019-02-24,WH,2019-02-24,WH
,AG0605,P0799,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0799,NULL,,,2019-03-08,LH,2019-10-13,DP
,AG0606,P0800,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0800,NULL,,,2019-01-08,MG,2019-01-08,MG
,AG0607,P0801,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0801,NULL,,,2019-02-11,MG,2019-04-28,WH
,AG0608,P0802,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0802,NULL,,,2019-02-11,MG,2019-02-11,MG
,AG0609,P0803,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0803,NULL,,,2019-02-11,MG,2019-04-28,WH
,AG0610,P0804,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0804,NULL,,,2019-02-18,MG,2019-02-18,MG
,AG0611,P0805,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0805,NULL,,,2019-02-18,MG,2019-02-18,MG
+++,NULL,P0806,NULL,,,2019-02-18,MG,2019-02-18,MG
,AG0612,P0806,de,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0614,P0808,en,Fang Lizhi was not rusticated but sent for reeducation,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0808,NULL,Fang Lizhi was not rusticated but sent for reeducation,,2019-02-19,LH,2019-02-19,LH
,AG0615,P0809,ru,,,2020-04-02,DP,2020-04-02,DP
,AG0616,P0810,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0810,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0617,P0811,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0811,NULL,,Note that this author is also referred to in Open Love Letters!,2019-03-08,MG,2019-03-09,MG
,AG0618,P0812,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0812,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0619,P0813,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0813,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0620,P0814,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0814,NULL,,,2019-03-08,MG,2019-03-08,MG
,AG0621,P0815,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0815,NULL,,,2019-03-09,MG,2019-03-09,MG
+++,NULL,P0850,NULL,,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P0850,NULL,,,2019-03-12,LH,2019-10-13,DP
,AG0622,P0900,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0900,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0623,P0901,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0901,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0624,P0902,en,Part of a group mentioned by AG0613,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0902,NULL,He was a member of P0807.,,2019-03-24,WH,2019-03-24,WH
,AG0625,P0903,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0903,NULL,,,2019-03-24,WH,2019-03-24,WH
,AG0626,P0999,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0999,NULL,,,2017-11-07,DP,2017-11-07,DP
+++,NULL,P1000,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1000,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1001,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1001,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1002,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1002,NULL,FICTIONAL CHARACTER,,2019-03-12,LH,2019-10-13,DP
+++,NULL,P1003,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1003,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1004,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1005,NULL,No name mentioned. Protagonist and narrator of the novel,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1006,NULL,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,P1007,NULL,,,2019-07-30,MG,2019-10-13,DP
+++,NULL,P1008,NULL,,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1009,NULL,,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1010,NULL,Luo‘s aunt,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1011,NULL,Le Binoclard‘s mother,,2019-08-03,MG,2019-10-13,DP
+++,NULL,P1012,NULL,,,2019-08-03,MG,2019-09-12,MG
+++,NULL,P1012,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1013,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1013,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1014,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1014,NULL,,,2019-09-12,MG,2019-09-12,MG
+++,NULL,P1015,NULL,,,2019-09-12,MG,2019-10-13,DP
+++,NULL,P1016,NULL,,,2019-09-13,MG,2019-09-13,MG
+++,NULL,P1016,NULL,,,2019-09-13,MG,2019-09-13,MG
+++,NULL,P1017,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1017,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1017,NULL,,,2019-10-14,MG,2019-10-14,MG
+++,NULL,P1018,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1018,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1019,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1019,NULL,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,P1020,NULL,,check CCP status (social status),2019-10-24,MG,2019-10-30,MG
+++,NULL,P1020,NULL,,check CCP status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1021,NULL,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1021,NULL,,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1022,NULL,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1022,NULL,the ‘bad’ student (and hoodlum 流氓). Was taken into the class after his release from a detention center X留所  where he’d been arrested for gang criminality,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1023,NULL,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her. XHM is characterized as a ‘typical’ CR reader who loves to read but has limited access and believes everything the party writes; back then her parents advised her to read the newspaper diligently (ENG 96),narrative status,2019-10-24,MG,2019-11-08,MG
+++,NULL,P1023,NULL,activist student; pretty stubborn and wants to do everything right; but still seems under the spell of what the GoF taught her,narrative status,2019-10-24,MG,2019-10-30,MG
+++,NULL,P1024,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1024,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1024,NULL,,,2019-10-30,MG,2019-10-30,MG
+++,NULL,P1025,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1025,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1026,NULL,,,2019-11-08,MG,2019-11-08,MG
+++,NULL,P1027,NULL,,,2019-11-22,MG,2019-11-22,MG
+++,NULL,P1028,NULL,,,2019-11-22,MG,2019-11-22,MG
+++,NULL,P1029,NULL,,,2019-11-28,MG,2019-11-28,MG
+++,NULL,P1029,NULL,,,2019-11-28,MG,2019-11-28,MG
+++,NULL,P1030,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1030,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1031,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1031,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1032,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1032,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1033,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1033,NULL,,pls check place of birth,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1034,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1035,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1036,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1037,NULL,,pls check narrative status,2019-12-02,MG,2020-05-20,MG
+++,NULL,P1038,NULL,,,2019-12-02,MG,2019-12-02,MG
+++,NULL,P1038,NULL,,,2019-12-02,MG,2019-12-10,MG
+++,NULL,P1039,NULL,,,2019-12-10,MG,2020-02-06,MG
+++,NULL,P1040,NULL,,,2019-12-12,MG,2020-02-06,MG
+++,NULL,P1041,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1041,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1042,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1042,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1043,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1043,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1044,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1044,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1045,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1045,NULL,,,2019-12-12,MG,2020-02-06,MG
+++,NULL,P1046,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1046,NULL,,,2019-12-12,MG,2019-12-12,MG
+++,NULL,P1047,NULL,,,2019-12-17,MG,2019-12-17,MG
+++,NULL,P1047,NULL,,,2019-12-17,MG,2019-12-17,MG
+++,NULL,P1047,NULL,,,2019-12-17,MG,2020-01-06,MG
+++,NULL,P1048,NULL,,,2020-01-06,MG,2020-01-06,MG
+++,NULL,P1048,NULL,,,2020-01-06,MG,2020-01-06,MG
+++,NULL,P1049,NULL,,,2020-01-08,MG,2020-01-08,MG
+++,NULL,P1049,NULL,,,2020-01-08,MG,2020-01-08,MG
+++,NULL,P1050,NULL,,,2020-01-08,MG,2020-05-20,MG
+++,NULL,P1051,NULL,,,2020-01-08,MG,2020-01-08,MG
+++,NULL,P1051,NULL,,,2020-01-08,MG,2020-01-08,MG
+++,NULL,P1052,NULL,,,2020-01-15,MG,2020-01-15,MG
+++,NULL,P1052,NULL,,,2020-01-15,MG,2020-01-15,MG
+++,NULL,P1053,NULL,,,2020-01-15,MG,2020-01-15,MG
+++,NULL,P1053,NULL,,,2020-01-15,MG,2020-01-15,MG
+++,NULL,P1054,NULL,,,2020-02-01,MG,2020-02-01,MG
+++,NULL,P1054,NULL,,,2020-02-01,MG,2020-02-01,MG
+++,NULL,P1055,NULL,,,2020-02-06,MG,2020-02-06,MG
+++,NULL,P1055,NULL,,,2020-02-06,MG,2020-02-06,MG
+++,NULL,P1056,NULL,,,2020-02-13,MG,2020-05-20,MG
+++,NULL,P1057,NULL,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,P1057,NULL,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,P1058,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1058,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1059,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1059,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1060,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1061,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1061,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1062,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1062,NULL,,,2020-02-14,MG,2020-05-20,MG
+++,NULL,P1063,NULL,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,P1064,NULL,,,2020-05-16,MG,2020-05-20,MG
+++,NULL,P1064,NULL,,,2020-05-16,MG,2020-05-20,MG
+++,NULL,P1065,NULL,,,2020-05-19,MG,2020-05-20,MG
+++,NULL,P1066,NULL,,,2020-05-25,MG,2020-05-25,MG
+++,NULL,P1066,NULL,,,2020-05-25,MG,2020-06-27,MG
+++,NULL,P1067,NULL,,,2020-05-25,MG,2020-05-25,MG
+++,NULL,P1067,NULL,,,2020-05-25,MG,2020-05-25,MG
+++,NULL,P1068,NULL,,,2020-05-26,MG,2020-06-04,MG
+++,NULL,P1069,NULL,,,2020-05-26,MG,2020-06-04,MG
+++,NULL,P1070,NULL,,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1071,NULL,,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1072,NULL,He is known for being a hard-working guy but laughed and treated badly because he is a mute,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1073,NULL,,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1074,NULL,,,2020-05-28,MG,2020-05-28,MG
+++,NULL,P1074,NULL,,,2020-05-28,MG,2020-05-28,MG
+++,NULL,P1075,NULL,,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1075,NULL,,,2020-05-28,MG,2020-06-04,MG
+++,NULL,P1076,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1077,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1078,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1079,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1080,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1081,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1081,NULL,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,P1082,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1082,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1083,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1083,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1084,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1084,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1085,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1085,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1086,NULL,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,P1087,NULL,,,2020-06-30,MG,2020-06-30,MG
+++,NULL,P1087,NULL,,,2020-06-30,MG,2020-06-30,MG
+++,NULL,P1088,NULL,He seems to have incorporated notions of what a Socialist hero should be like (SS00608; German edition p.92-93),please add the Chinese characters,2020-08-07,MG,2021-01-18,MG
+++,NULL,P1089,NULL,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
+++,NULL,P1090,NULL,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
+++,NULL,P1091,NULL,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,P1091,NULL,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,P1092,NULL,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,P1092,NULL,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,P1093,NULL,,,2021-01-16,MG,2021-01-16,MG
+++,NULL,P1093,NULL,,,2021-01-16,MG,2021-01-16,MG
+++,NULL,P1093,NULL,,,2021-01-16,MG,2021-01-18,MG
+++,NULL,P1094,NULL,,,2021-02-24,MG,2021-03-08,MG
+++,NULL,P1094,NULL,,,2021-03-08,MG,2021-03-08,MG
+++,NULL,P1095,NULL,,,2021-02-24,MG,2021-04-05,MG
+++,NULL,P1095,NULL,,,2021-03-08,MG,2021-04-05,MG
+++,NULL,P1096,NULL,,,2021-02-24,MG,2021-03-08,MG
+++,NULL,P1096,NULL,,,2021-02-25,MG,2021-03-08,MG
+++,NULL,P1097,NULL,,,2021-02-24,MG,2021-03-08,MG
+++,NULL,P1097,NULL,,,2021-02-24,MG,2021-03-08,MG
+++,NULL,P1098,NULL,,,2021-02-24,MG,2021-03-10,MG
+++,NULL,P1098,NULL,,,2021-03-08,MG,2021-03-10,MG
+++,NULL,P1099,NULL,,,2021-02-24,MG,2021-03-09,MG
+++,NULL,P1099,NULL,,,2021-03-09,MG,2021-03-09,MG
+++,NULL,P1100,NULL,,,2021-02-24,MG,2021-03-09,MG
