!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0069,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0069,P0070,en,Grew up in Beijing. 抗日名将蒋光鼐之女,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0070,NULL,Grew up in Beijing. 抗日名将蒋光鼐之女,,2017-07-05,LH,2018-01-26,WH
,AG0070,P0071,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0071,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0071,P0072,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0072,NULL,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,Third source (from his student): http://tieba.baidu.com/p/137913504?traceid=,2017-07-05,LH,2018-03-13,WH
,AG0072,P0073,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0073,NULL,,Third source: http://www.shuku.net/novels/zhuanji/czzdryfgywgdgrjy/yangr.html,2017-07-05,LH,2018-03-13,WH
+++,NULL,P0074,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0073,P0074,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0075,P0076,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0076,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0076,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0076,P0077,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0077,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0077,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0077,P0078,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0078,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0078,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0078,P0079,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0079,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0079,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0080,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0079,P0080,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0081,P0082,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0082,NULL,,,2017-07-09,OS,2018-01-08,MG
+++,NULL,P0082,NULL,,,2017-07-09,OS,2018-01-08,MG
,AG0082,P0084,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0084,NULL,,,2017-07-09,OS,2018-10-25,DP
,AG0083,P0085,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0085,NULL,,,2017-07-09,OS,2018-01-26,WH
+++,NULL,P0085,NULL,,,2017-07-09,OS,2018-01-26,WH
,AG0084,P0086,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0086,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0085,P0087,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0087,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0086,P0088,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0088,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0088,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0087,P0089,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0089,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0088,P0090,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0090,NULL,,,2017-07-10,OS,2018-10-25,DP
,AG0089,P0091,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0091,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0091,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0090,P0092,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0092,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0091,P0093,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0093,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0092,P0094,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0094,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0093,P0095,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0095,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0094,P0096,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0096,NULL,,,2017-07-10,OS,2018-01-26,WH
+++,NULL,P0096,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0095,P0097,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0097,NULL,,,2017-07-10,OS,2018-01-26,WH
,AG0096,P0098,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0098,NULL,,,2017-07-10,OS,2018-01-26,WH
