act_id,act_object,title
A01122,W0329,Oriental Magazine
A01123,W0330,Today
A01125,W0331,Andersen's Fairy Tales
A01126,W0332,Selected Works of Marx and Engels
A01127,W0333,Going to School
A01130,W0334,Erospace Knowledge
A01131,W0335,Knowledge is Power
A01132,W0336,Art
A01134,W0337,China Pictorial
A01135,W0338,People's Liberation Army Pictorial
A01137,W0339,Guangming Daily
A01139,W0340,Rotten Mountain Flower
A01140,W0341,People's Liberation Army Literature and Art
A01141,W0342,Beijing Daily
A01152,W0343,Climb up
A01162,W0344,Van Gogh
A01163,W0345,Michelangelo
A01164,W0346,Red Epaulette
A01165,W0347,Turn Around in Anger
A01167,W0348,English Textbook
A01345,W0349,Carry the Revolution Through to the End
A01168,W0350,Ancient Chinese
A01169,W0351,Raise the Eyebrows and Pull the Sword Out
A01170,W0352,Wang Shikuo’s Sketch Collection
A01171,W0353,Green Monster
A01173,W0354,Guwen Guanzhi
A01174,W0354,Guwen Guanzhi
A01177,W0355,Rulin Waishi
A01178,W0356,Trouble shooting and repair of radio equipment
A01183,W0357,Revolutionary Martyrs Poetry
A01184,W0358,The Red Flag Fluttering
A01186,W0359,Jiaxuan Poems
A01187,W0360,On the Study of Political Economy in Socialist Period
A01188,W0361,Goldbach's Conjecture
A01189,W0362,Under the Qilian Mountains
A01190,W0363,Einstein Collection
A01314,W0364,Evolution and Ethics
A01315,W0365,The Poor
A01195,W0366,Mountain Township and Blood Fire
A01197,W0367,Song of Youth
A01198,W0367,Song of Youth
A01304,W0368,Internal Medicine
A01305,W0369,Family Background Theory
A01306,W0369,Family Background Theory
A01082,W0370,A Little Star Next to the Moon
A01307,W0370,A Little Star Next to the Moon
A01308,W0371,Baiyangdian
A01309,W0372,Bridge over the Abyss
A01310,W0373,Type of laughter
A01316,W0374,My Memories
A01317,W0375,Our Monument
A01318,W0376,The Boundary
A00878,W0377,The Scar
A01043,W0378,Pour Vivre ici
A01044,W0378,Pour Vivre ici
A01045,W0378,Pour Vivre ici
A01046,W0378,Pour Vivre ici
A01051,W0381,The Song of Ouyang Hai
A01052,W0381,The Song of Ouyang Hai
A00605,W0382,Yulin Bell
A00682,W0382,Yulin Bell
A00882,W0382,Yulin Bell
A01068,W0385,Whither Guangdong?
A00885,W0386,Steel Meets Fire
A01069,W0387,Classical Theory of Fields
A00890,W0388,The Sunny Day
A01070,W0389,Fortress Besieged
A00891,W0390,The Golden Road
A01073,W0391,Tracks in The Snowy Forest
A00893,W0392,Struggles in an Ancient City
A01074,W0393,Li Sao
A01075,W0393,Li Sao
A01076,W0393,Li Sao
A01078,W0395,Journey to The Land of Hunger
A01079,W0395,Journey to The Land of Hunger
A01077,W0397,Impressions of The Red Capital
A01080,W0397,Impressions of The Red Capital
A01000,W0398,Сказание о директоре Прончатове
A01010,W0401,Book on Xinjiang
A01193,W0401,Book on Xinjiang
A01194,W0401,Book on Xinjiang
A01018,W0403,Farewell Leighton Stuart
A01322,W0406,Chinese Historical Anthology
A01323,W0407,The Hurricane
A01324,W0408,The Aesthetic History of West
A01325,W0408,The Aesthetic History of West
A01327,W0409,Le Cygne
A01330,W0410,Wandering in Absolute Freedom
A01331,W0410,Wandering in Absolute Freedom
A01332,W0411,Autumn Floods
A01333,W0412,Zuo Zhuan
A01334,W0412,Zuo Zhuan
A01201,W0413,The Third Way
A00861,W0416,Pushkin poetry
A01343,W0417,On Richard Nixon
A00647,W0700,unknown
A01380,W0701,unknown
