act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,source,page,source_status,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00468,AG0029,AT01,W0414,,196x,1966?,NULL,NULL,W0428,116,NULL,NULL,unknown work by: AG0393,,2018-05-31,DM,2020-12-19,MG
A00469,AG0117,AT01,W0198,,197x,197x,NULL,NULL,W0431,453,NULL,NULL,,,2018-06-01,DM,2020-12-19,MG
A00470,AG0239,AT26,W0545,,1963,1963,NULL,NULL,W0497,ONLINE SOURCE,NULL,NULL,"The text is about the author's experience when he was a student at the Beijing No. 4 High School. He encountered the May 16 Notification and took part in the Red guards, raging the campus and households.",,2018-06-01,DM,2020-04-04,DP
A00471,AG0117,AT01,W0199,,197x,197x,NULL,NULL,W0431,453,NULL,NULL,,,2018-06-01,DM,2020-12-19,MG
A00472,AG0103,AT05,W0131,,196x,197x,NULL,NULL,W0431,570,NULL,NULL,,,2018-06-01,DM,2020-12-19,MG
A00473,AG0134,AT05,W0131,,197x,197x,NULL,NULL,W0431,391,NULL,NULL,,,2018-06-01,DM,2020-04-04,DP
A00474,AG0396,AT05,W0131,,1970,1970,NULL,NULL,W0431,95,NULL,NULL,,,2018-06-01,DM,2020-04-04,DP
A00475,AG0009,AT05,W0131,,1971,1971,NULL,NULL,W0431,,NULL,NULL,,,2018-06-01,DM,2020-04-04,DP
A00476,AG0052,AT01,W0131,,1953,196x,NULL,NULL,W0456,ONLINE SOURCE,NULL,NULL,The text is about the time before the CR when the author was Huang Yongsheng's secretary. He commented on Huang Yongsheng and wrote some impressions.,,2018-06-01,DM,2020-04-04,DP
A00477,AG0045,AT27,W0131,,,,NULL,NULL,W0447,ONLINE SOURCE,NULL,NULL,,,2018-06-01,DM,2018-12-19,MG
A00478,AG0103,AT05,W0554,,196x,197x,NULL,NULL,W0431,573,NULL,NULL,unknown work by: AG0397,,2018-06-01,DM,2020-12-19,MG
A00479,AG0156,AT05,W0200,,1966,1976,NULL,NULL,W0435,327,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00480,AG0399,AT16,W0200,,1966,1976,NULL,NULL,W0435,327,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00481,AG0020,AT01,W0200,,197x,197x,NULL,NULL,W0420,136,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00482,AG0104,AT05,W0200,,196x,197x,NULL,NULL,W0423,78,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00483,AG0103,AT05,W0200,,196x,197x,NULL,NULL,W0419,571,NULL,NULL,,,2018-08-04,DM,2020-12-19,MG
A00484,AG0118,AT05,W0200,,1979,1982,NULL,NULL,W0476,532,NULL,NULL,,,2018-08-04,DM,2020-12-19,MG
A00485,AG0310,AT05,W0200,,1971,1980,NULL,NULL,W0514,172,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00486,AG0124,AT05,W0200,,1966,1976,NULL,NULL,W0474,8,NULL,NULL,,,2018-08-04,DM,2020-04-04,DP
A00487,AG0123,AT05,W0554,,1966?,1976,NULL,NULL,W0431,197,NULL,NULL,unknown work by: AG0400,,2018-08-05,DM,2020-12-19,MG
A00488,AG0020,AT05,W0201,,197x,197x,NULL,NULL,W0420,137,NULL,NULL,,,2018-08-05,DM,2020-12-19,MG
A00489,AG0042,AT22,W0201,,1956,1976,NULL,NULL,W0433,ONLINE SOURCE,NULL,NULL,,,2018-08-05,DM,2020-04-04,DP
A00490,AG0114,AT27,W0131,,19XX,19XX,NULL,NULL,W0429,30,NULL,NULL,,,2018-08-06,DM,2020-04-04,DP
A00491,AG0116,AT01,W0202,,1979,1979,NULL,NULL,W0475,562,NULL,NULL,,,2018-11-15,DM,2020-12-19,MG
A00492,AG0053,AT01,W0203,,1950..196x,1950..196x,NULL,NULL,W0458,ONLINE SOURCE,NULL,NULL,,Added by CW and JH transferred without rechecking requires further checks,2018-11-15,DM,2020-04-04,DP
A00493,AG0188,AT05,W0203,,19xx,19xx,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,All data missing in the original dataset,This work probably not exist in the original text please check again.,2018-11-15,DM,2020-04-04,DP
A00494,AG0103,AT23,W0203,,196x,197x,NULL,NULL,W0419,571,NULL,NULL,,,2018-11-15,DM,2020-12-19,MG
A00495,AG0029,AT17,W0204,,1966,,NULL,NULL,W0428,120,NULL,NULL,,,2018-11-15,DM,2020-04-04,DP
A00496,AG0038,AT05,W0205,AG0113,1971,1971,NULL,NULL,W0426,ONLINE SOURCE,NULL,NULL,The text recorded the author's experience in a fishing grounds in Sichuan in 1971. Desipte the fact that the high peak of violence in the CR came to an end the checking out the May 16th components just started,read during rustication?,2018-11-17,DM,2020-12-19,MG
A00497,AG0055,AT06,W0206,,1950s,1950s,NULL,NULL,W0454,ONLINE SOURCE,NULL,NULL,The text records several prominent historians' experiences during the CR,,2018-11-17,DM,2020-04-04,DP
A00498,AG0124,AT05,W0207,,1966,1976,NULL,NULL,W0474,7-10,NULL,NULL,,,2018-11-17,DM,2020-04-04,DP
