person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
AG0133,Yu,Pingbo,en,male,0,1900,1990,Yu Mingheng,SP0085,S03,,,https://en.wikipedia.org/wiki/Yu_Pingbo,,https://baike.baidu.com/item/%E4%BF%9E%E5%B9%B3%E4%BC%AF/170203?fr=aladdin,,,,,,2017-09-22,MG,2020-04-02,DP
AG0133,俞,平伯,zh,male,0,1900,1990,俞銘衡,SP0085,S03,,,https://en.wikipedia.org/wiki/Yu_Pingbo,,https://baike.baidu.com/item/%E4%BF%9E%E5%B9%B3%E4%BC%AF/170203?fr=aladdin,,,,,,2017-09-22,MG,2020-04-02,DP
AG0134,Yan,Lianke,en,male,2,1958,XXXX,,SP0080,S09,,,https://de.wikipedia.org/wiki/Yan_Lianke,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0134,阎,连科,zh,male,2,1958,XXXX,,SP0080,S09,,,https://paper-republic.org/authors/yan-lianke/,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0135,Li,Dazhao,en,male,0,1889,1927,,SP0079,,,,http://www.xujuneberlein.com/rem72.html,,,,,,,,2017-09-24,CW,2020-04-02,DP
AG0135,李,大釗,zh,male,0,1889,1927,,SP0079,,,,http://www.xujuneberlein.com/rem72.html,,,,,,,,2017-09-24,CW,2020-04-02,DP
AG0136,Chaplin,Charlie,en,male,0,1889,1977,Charles Spencer Chaplin,SP0039,,,,https://de.wikipedia.org/wiki/Charlie_Chaplin,,,,,,,,2017-09-27,MG,2020-04-02,DP
AG0136,卓别林,查理,zh,male,0,1889,1977,查尔斯 斯宾赛,SP0039,,,,https://zh.wikipedia.org/wiki/%E6%9F%A5%E7%90%86%C2%B7%E5%8D%93%E5%88%AB%E6%9E%97,,,,,,,,2017-09-27,MG,2020-04-02,DP
AG0137,Chekhov,Anton,en,male,0,1860,1904,,SP0081,,,,https://en.wikipedia.org/wiki/Anton_Chekhov,,,,,,,,2017-09-27,MG,2020-04-02,DP
AG0137,Че́хов,Анто́н,ru,male,0,1860,1904,,SP0081,,,,https://en.wikipedia.org/wiki/Anton_Chekhov,,,,,,,,2017-09-27,MG,2020-04-02,DP
AG0137,契诃夫,安东,zh,male,0,1860,1904,,SP0081,,,,https://en.wikipedia.org/wiki/Anton_Chekhov,,,,,,,,2017-09-27,MG,2020-04-02,DP
AG0138,Dickens,Charles,en,male,0,1812,1870,,SP0086,,,,https://en.wikipedia.org/wiki/Charles_Dickens,,,,,,,,2017-09-29,MG,2020-04-02,DP
AG0138,狄更斯,查尔斯,zh,male,0,1812,1870,,SP0086,,,,https://en.wikipedia.org/wiki/Charles_Dickens,,,,,,,,2017-09-29,MG,2020-04-02,DP
AG0139,Chernyshevsky,Nikolay Gavrilovich,en,male,0,1828,1889,,SP0082,,,,https://en.wikipedia.org/wiki/Nikolay_Chernyshevsky,,,,,,,,2017-09-29,MG,2020-04-02,DP
AG0139,Николай,Гаврилович Чернышевский,ru,male,0,1828,1889,,SP0082,,,,https://en.wikipedia.org/wiki/Nikolay_Chernyshevsky,,,,,,,,2017-09-29,MG,2020-04-02,DP
AG0139,车尔尼雪夫斯基,尼古拉 加夫里诺维奇,zh,male,0,1828,1889,,SP0082,,,,https://en.wikipedia.org/wiki/Nikolay_Chernyshevsky,,,,,,,,2017-09-29,MG,2020-04-02,DP
AG0140,Hai,Mo,en,male,0,1923,1968,,SP0108,,,,https://baike.baidu.com/item/%E6%B5%B7%E9%BB%98,,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0140,海,默,zh,male,0,1923,1968,张泽藩,SP0108,,,,https://baike.baidu.com/item/%E6%B5%B7%E9%BB%98,,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0141,Li,Shu,en,male,0,1883,1954,,SP0084,,,,https://zh.wikipedia.org/wiki/%E9%BB%8E%E6%BE%8D,,https://www.renminbao.com/rmb/articles/2016/3/28/63207b.html,,,,,,2017-10-03,MG,2020-04-02,DP
AG0141,黎,澍,zh,male,0,1883,1954,,SP0084,,,,https://zh.wikipedia.org/wiki/%E9%BB%8E%E6%BE%8D,,https://www.renminbao.com/rmb/articles/2016/3/28/63207b.html,,,,,,2017-10-03,MG,2020-04-02,DP
AG0142,Chen,Jingrong,en,female,0,1917,1989,,SP0009,,,,https://zh.wikipedia.org/wiki/%E9%99%88%E6%95%AC%E5%AE%B9,,https://baike.baidu.com/item/%E9%99%88%E6%95%AC%E5%AE%B9,,,,,,2017-10-03,MG,2020-04-02,DP
AG0142,陈,敬容,zh,female,0,1917,1989,陈懿范,SP0009,,,,https://zh.wikipedia.org/wiki/%E9%99%88%E6%95%AC%E5%AE%B9,,https://baike.baidu.com/item/%E9%99%88%E6%95%AC%E5%AE%B9,,,,,,2017-10-03,MG,2020-04-02,DP
AG0143,Wu,,en,female,0,XXXX,XXXX,,SP0436,,,,W0428,116,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0143,巫,,zh,female,0,XXXX,XXXX,,SP0436,,,,W0428,116,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0144,Yan,Wenliang,en,male,0,1893,1988,,SP0085,,,,https://zh.wikipedia.org/wiki/%E9%A1%8F%E6%96%87%E6%A8%91,,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0144,颜,文樑,zh,male,0,1893,1988,,SP0085,,,,https://zh.wikipedia.org/wiki/%E9%A1%8F%E6%96%87%E6%A8%91,,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0145,Xiao,Xia,en,female,0,XXXX,XXXX,,SP0436,,,,W0455,ONLINE SOURCE,,,,,,,2017-10-03,MG,2020-04-02,DP
AG0145,小,霞,zh,female,0,XXXX,XXXX,,SP0436,,,,W0455,ONLINE SOURCE,,,,,,,2018-02-19,MG,2020-04-02,DP
AG0146,Wang,Hanying,en,female,0,XXXX,XXXX,,SP0436,,,,W0497,ONLINE SOURCE,,,,,,,2017-10-03,MG,2020-04-02,DP
