sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
SS00657,Star Camp,,en,G07,,,,1981,,SS00656,,1-44,F,,2021-03-03,MG,2021-03-23,MG
SS00657,星星营,,zh,G07,,,,1981,,SS00656,,1-44,F,,2021-03-03,MG,2021-03-03,MG
SS00658,G is for Goddess,,en,G07,,,,,,,,255-272,F,,2021-03-03,MG,2021-03-18,MG
SS00658,G代表女神,,zh,G07,,,,,,,,255-272,F,,2021-03-03,MG,2021-03-18,MG
SS00659,The Sound of Salt Forming,Stories by The Post-‘80s Generation in China,en,G28,PL0640,2016,University of Hawai‘i Press,,,,,,,,2021-03-03,MG,2021-04-06,MG
SS00660,Paradise Lost,,en,G07,,,,,,SS00661,,22-35,F,,2021-03-03,MG,2021-03-15,MG
SS00660,失乐园,,zh,G07,,,,,,SS00661,,22-35,F,,2021-03-03,MG,2021-03-03,MG
SS00661,Hongkong Literary,,en,G28,,2019,,,,,Vol. 413,,,,2021-03-03,MG,2021-03-04,MG
SS00661,Xianggang wenxue,,zh-Latn-pinyin,G28,,2019,,,,,Vol. 413,,,,2021-03-03,MG,2021-03-04,MG
SS00662,A Strange Machine Dog,,en,G07,,,,1965,,SS00663,,123-153,F,,2021-03-04,MG,2021-03-04,MG
SS00662,奇异的机器狗,,zh,G07,,,,1965,,SS00663,,123-153,F,,2021-03-04,MG,2021-03-04,MG
SS00663,Selected Science Fiction Stories,,en,G28,PL0002,1980,Zhonguo qingnian chubanshe,,,,,,,,2021-03-04,MG,2021-03-04,MG
SS00663,科学幻想小说选,,zh,G28,PL0002,1980,Zhonguo qingnian chubanshe,,,,,,,,2021-03-04,MG,2021-03-04,MG
SS00664,The Secret of The ‚Venus People‘,,en,G07,,,,1979,,SS00663,,154-184,F,,2021-03-04,MG,2021-03-15,MG
SS00664,‘金星人’之谜,,zh,G07,,,,1979,,SS00663,,154-184,F,,2021-03-04,MG,2021-03-04,MG
