agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0188,P0212,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0189,P0213,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0190,P0214,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0191,P0215,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0192,P0216,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0193,P0217,NULL,en,She went in the countryside in 1969-1974 with her parents.,,2020-04-02,DP,2020-04-02,DP
AG0194,P0218,NULL,en,He was 6 years worker after 1971.,,2020-04-02,DP,2020-04-02,DP
AG0195,P0219,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0196,P0220,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0197,P0221,NULL,en,Grew up in Beijing. From 1971-1975 he was rusticated in Wuxiang 武乡 (Shanxi).,,2020-04-02,DP,2020-04-02,DP
AG0198,P0222,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0199,P0223,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0200,P0224,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0201,P0225,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0202,P0226,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0203,P0227,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0204,P0228,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0205,P0229,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0206,P0230,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0207,P0231,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0208,P0232,NULL,bg,,,2020-04-02,DP,2020-04-02,DP
AG0209,P0233,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0210,P0234,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0211,P0235,NULL,de,,,2020-04-02,DP,2020-04-02,DP
AG0212,P0236,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0213,P0237,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0214,P0238,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0215,P0239,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0216,P0240,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0217,P0241,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0218,P0242,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0219,P0243,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0220,P0244,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0221,P0245,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0222,P0246,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0223,P0247,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0224,P0248,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0225,P0249,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0226,P0250,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0227,P0251,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0228,P0252,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0229,P0253,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0230,P0254,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0231,P0255,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0232,P0256,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0233,P0257,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0234,P0258,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0235,P0259,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0236,P0260,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0237,P0261,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0238,P0262,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0239,P0263,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0240,P0264,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0241,P0265,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0242,P0266,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0243,P0267,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0244,P0268,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0245,P0269,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0246,P0270,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0247,P0271,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0248,P0272,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0249,P0273,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0250,P0274,NULL,en,not in a real zhiqing. He was sentenced to 3 years of laogai in 1964 and used to live on the countryside close to Xi'an  from 1967 onwards for a longer time.,,2020-04-02,DP,2020-04-02,DP
AG0251,P0275,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0252,P0276,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0253,P0277,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0254,P0278,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0255,P0279,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0256,P0280,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0257,P0281,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0258,P0282,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0259,P0283,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0260,P0284,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0261,P0285,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0262,P0286,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0263,P0287,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0264,P0288,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0265,P0289,NULL,en,he was an expert on Chinese folk religions,,2020-04-02,DP,2020-04-02,DP
AG0266,P0290,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0267,P0291,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0268,P0292,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0269,P0293,NULL,en,Professor,,2020-04-02,DP,2020-04-02,DP
AG0270,P0294,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0271,P0295,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0272,P0296,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0273,P0297,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0274,P0298,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0275,P0299,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0276,P0300,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0277,P0301,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0278,P0302,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0279,P0303,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0280,P0304,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0281,P0305,NULL,en,,,2020-04-02,DP,2020-04-02,DP
