person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,note,created,created_by,last_modified,last_modified_by
AG0054,Hou,Wailu,en,male,0,1903,1987,,SP0194,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%A4%96%E5%BA%90,,,2017-07-05,LH,2020-04-02,DP
AG0054,侯,外庐,zh,male,0,1903,1987,,SP0194,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%A4%96%E5%BA%90,,,2017-07-05,LH,2020-04-02,DP
AG0055,Gu,Jiegang,en,male,0,1893,1980,,SP0085,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%A1%BE%E9%A2%89%E5%88%9A,,,2017-07-05,LH,2020-04-02,DP
AG0055,顾,颉刚,zh,male,0,1893,1980,,SP0085,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%A1%BE%E9%A2%89%E5%88%9A,,,2017-07-05,LH,2020-04-02,DP
AG0056,Xie,Guozhen,en,male,0,1901,1982,,SP0195,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%9B%BD%E6%A1%A2,,,2017-07-05,LH,2020-04-02,DP
AG0056,谢,国桢,zh,male,0,1901,1982,,SP0195,,,,W0454,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%9B%BD%E6%A1%A2,,,2017-07-05,LH,2020-04-02,DP
AG0057,Qi,Zhi,en,male,3,1953,XXXX,,SP0436,,,,W0427,ONLINE SOURCE,http://qizhi.shufa.com/,,,2017-07-05,LH,2020-04-02,DP
AG0057,启,之,zh,male,3,1953,XXXX,,SP0436,,,,W0427,ONLINE SOURCE,http://qizhi.shufa.com/,,,2017-07-05,LH,2020-04-02,DP
AG0058,Bai,Hua,en,male,2,1930,XXXX,,SP0150,,,,W0444,ONLINE SOURCE,http://www.baike.com/wiki/%E7%99%BD%E6%A1%A6,,Third source: http://www.sohu.com/a/195608538_282764,2017-07-05,LH,2020-04-02,DP
AG0058,白,桦,zh,male,2,1930,XXXX,,SP0150,,,,W0444,ONLINE SOURCE,http://www.baike.com/wiki/%E7%99%BD%E6%A1%A6,,Third source: http://www.sohu.com/a/195608538_282764,2017-07-05,LH,2020-04-02,DP
AG0059,Li,Ping,en,male,2,1948,XXXX,Liu Huixuan,SP0009,,,,W0460,,https://baike.baidu.com/item/%E7%A4%BC%E5%B9%B3,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0059,礼,平,zh,male,2,1948,XXXX,刘辉宣,SP0009,,,,W0460,,https://baike.baidu.com/item/%E7%A4%BC%E5%B9%B3,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
