agent_id,old_id,agent_type,wikidata_id,fictionality,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0209,P0233,P,Q991,,en,,,2020-04-02,DP,2020-04-02,DP
AG0210,P0234,P,Q35610,,en,,,2020-04-02,DP,2020-04-02,DP
AG0211,P0235,P,Q59532840,,de,,,2020-04-02,DP,2020-04-02,DP
AG0212,P0236,P,Q38337,,en,,,2020-04-02,DP,2020-04-02,DP
AG0213,P0237,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0214,P0238,P,Q55999063,,en,,,2020-04-02,DP,2020-04-02,DP
AG0215,P0239,P,Q86116697,,en,,,2020-04-02,DP,2020-04-02,DP
AG0216,P0240,P,Q8964396,,en,,,2020-04-02,DP,2020-04-02,DP
AG0217,P0241,P,Q160619,,en,,,2020-04-02,DP,2020-04-02,DP
AG0218,P0242,P,Q47484,,en,,,2020-04-02,DP,2020-04-02,DP
AG0219,P0243,P,Q128560,,en,,,2020-04-02,DP,2020-04-02,DP
AG0220,P0244,P,Q45583667,,en,,,2020-04-02,DP,2020-04-02,DP
AG0221,P0245,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0222,P0246,P,Q6701,,en,,,2020-04-02,DP,2020-04-02,DP
AG0223,P0247,P,Q28777,,en,,,2020-04-02,DP,2020-04-02,DP
AG0224,P0248,P,Q271853,,en,,,2020-04-02,DP,2020-04-02,DP
AG0225,P0249,P,Q2562739,,en,,,2020-04-02,DP,2020-04-02,DP
AG0226,P0250,P,Q5809,,en,,,2020-04-02,DP,2020-04-02,DP
AG0227,P0251,P,Q112441618,,en,,,2020-04-02,DP,2022-09-14,QG
AG0228,P0252,P,Q45404196,,en,,,2020-04-02,DP,2020-04-02,DP
AG0229,P0253,P,Q15930009,,en,,,2020-04-02,DP,2020-04-02,DP
AG0230,P0254,P,Q69339,,en,,,2020-04-02,DP,2020-04-02,DP
AG0231,P0255,P,Q1325,,en,,,2020-04-02,DP,2020-04-02,DP
AG0232,P0256,P,Q4502726,,en,,,2020-04-02,DP,2020-04-02,DP
AG0233,P0257,P,Q5366419,,en,,,2020-04-02,DP,2020-04-02,DP
AG0234,P0258,P,Q9235,,en,,,2020-04-02,DP,2020-04-02,DP
AG0235,P0259,P,Q208101,,en,,,2020-04-02,DP,2020-04-02,DP
AG0236,P0260,P,Q23434,,en,,,2020-04-02,DP,2020-04-02,DP
AG0237,P0261,P,Q535,,en,,,2020-04-02,DP,2020-04-02,DP
AG0238,P0262,P,Q46706,,en,,,2020-04-02,DP,2020-04-02,DP
AG0239,P0263,P,Q61819765,,en,,,2020-04-02,DP,2022-09-14,QG
AG0240,P0264,P,Q2027578,,en,,,2020-04-02,DP,2020-04-02,DP
AG0241,P0265,P,Q41117,,en,,,2020-04-02,DP,2020-04-02,DP
AG0242,P0266,P,Q710973,,en,,,2020-04-02,DP,2020-04-02,DP
AG0243,P0267,P,Q716242,,en,,,2020-04-02,DP,2020-04-02,DP
AG0244,P0268,P,Q1230935,,en,,,2020-04-02,DP,2020-04-02,DP
AG0245,P0269,P,Q229062,,en,,,2020-04-02,DP,2020-04-02,DP
AG0246,P0270,P,Q962114,,en,,,2020-04-02,DP,2020-04-02,DP
AG0247,P0271,P,Q1361147,,en,,,2020-04-02,DP,2020-04-02,DP
AG0248,P0272,P,Q46599,,en,,,2020-04-02,DP,2020-04-02,DP
AG0249,P0273,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0250,P0274,P,Q11063924,,en,not in a real zhiqing. He was sentenced to 3 years of laogai in 1964 and used to live on the countryside close to Xi'an  from 1967 onwards for a longer time.,,2020-04-02,DP,2020-04-02,DP
AG0251,P0275,P,Q6538730,,en,,,2020-04-02,DP,2020-04-02,DP
AG0252,P0276,P,,,en,,,2020-04-02,DP,2020-04-02,DP
