prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,note,created,created_by,last_modified,last_modified_by
W0059,Khrushchev,A Career,en,G02,SP0005,1973,Sanlian shudian,19XX,yes,,,,,2017-10-08,MG,2020-04-08,DP
W0059,赫鲁晓夫,回忆录,zh,G02,SP0005,1973,Sanlian shudian,19XX,yes,,,,,2017-10-08,MG,2020-04-08,DP
W0059,Heluxiaofu,,zh-Latn-pinyin,G02,SP0005,1973,Sanlian shudian,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0060,Tito,,en,G02,SP0005,1963,Sanlian shudian,19XX,yes,,,,,2017-10-08,MG,2020-04-08,DP
W0060,铁托传,,zh,G02,SP0005,1963,Sanlian shudian,19XX,yes,,,,,2017-10-08,MG,2020-04-08,DP
W0060,Tieduo zhuan,,zh-Latn-pinyin,G02,SP0005,1963,Sanlian shudian,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0061,David Copperfield,,en,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2017-10-08,MG,2020-04-08,DP
W0061,大卫科波菲尔,,zh,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2017-10-08,MG,2020-04-08,DP
W0061,Dawei Kebofeier,,zh-Latn-pinyin,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0062,A Tale of Two Cities,,en,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2017-10-08,MG,2020-04-08,DP
W0062,双城记,,zh,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2017-10-08,MG,2020-04-08,DP
W0062,Shuang cheng ji,,zh-Latn-pinyin,G04,SP0006,1950,Sanlian shudian,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0063,The Catcher in the Rye,,en,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2017-12-14,MG,2020-04-08,DP
W0063,麦田的守望者,,zh,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2017-12-14,MG,2020-04-08,DP
W0063,Mantian de shouwangzhe,,zh-Latn-pinyin,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0064,Rudin,,en,G04,SP0006,1952,Wenhua shenghuo chubanshe,19XX,no,,,,,2017-12-14,MG,2020-04-08,DP
