place_id,place_name,lat,long,note,created,created_by,last_modified,last_modified_by
PL0286,Osnabrück,52.279911,8.047179,,2018-05-28,MG,2018-07-04,MG
PL0287,Limoges,45.833619,1.261105,,2018-05-28,MG,2018-07-04,MG
PL0288,Chuguyev,49.836316,36.681312,,2018-05-28,MG,2018-07-04,MG
PL0289,Charleville,49.762085,4.726096,,2018-05-28,MG,2018-07-04,MG
PL0290,Tikhvin,59.644386,33.541032,,2018-05-28,MG,2018-07-04,MG
PL0291,Clamecy,47.459605,3.518769,,2018-05-28,MG,2018-07-04,MG
PL0292,Irkutsk,52.286974,104.305018,,2018-05-30,MG,2018-07-04,MG
PL0293,Heidenheim,48.689396,10.161095,,2018-06-01,MG,2018-07-04,MG
PL0294,Geneva,46.204391,6.143158,,2018-06-01,MG,2018-07-04,MG
PL0295,Monmouthshire,51.81161,-2.716342,,2018-06-01,MG,2018-07-04,MG
PL0296,Nemyriv,48.974952,28.847408,,2018-07-04,MG,2018-09-10,DP
PL0297,Bilopillia,51.149402,34.317522,,2018-07-09,MG,2018-09-10,DP
PL0298,Kunming,24.880095,102.832891,,2018-07-10,MG,2018-09-10,DP
PL0299,La Bruyère,50.527995,4.818628,,2018-07-17,MG,2018-09-10,DP
PL0300,Dong'an,26.394403,111.314117,,2018-07-30,MG,2018-07-30,MG
PL0301,Slawno,54.36262,16.67836,,2018-07-17,MG,2018-09-10,DP
PL0302,Zoucheng,35.405184,117.003743,,2018-07-20,MG,2018-09-10,DP
PL0303,Zavosse,53.289514,26.099846,,2018-07-20,MG,2018-09-10,DP
PL0304,Atlanta,33.748995,-84.387982,,2018-07-20,MG,2018-09-10,DP
PL0305,La Brède,44.68148,-0.527753,,2018-07-23,MG,2018-09-10,DP
PL0306,Leipzig,51.3397,12.3731,,2018-05-31,DM,2018-05-31,DM
PL0307,Linares,38.083333,-3.633333,,2018-05-31,DM,2018-05-31,DM
PL0308,Horsham,51.063751,-0.327000,,2018-05-31,DM,2018-11-19,MG
PL0309,Huzhou,30.872320,120.098053,It’s old name was Wuxing.,2018-06-01,DM,2018-12-24,WH
PL0310,Jiangxi Province,27.285970,116.016090,,2018-06-01,DM,2018-11-19,MG
PL0311,Guilin,25.2344,110.1799,,2018-06-01,DM,2018-06-01,DM
PL0312,Chicago,41.8781,87.6298,,2018-08-06,DM,2018-08-06,DM
PL0313,Vyoshenskaya,49.6316,41.7147,,2018-08-06,DM,2018-08-06,DM
PL0314,Hejin,35.596,110.712,,2018-11-15,DM,2018-11-15,DM
PL0315,Litomyšl,49.87,16.312778,,2018-11-17,DM,2018-11-17,DM
PL0316,Haining,30.5107,120.6808,,2019-01-07,DM,2019-01-07,DM
PL0317,Blankenburg,51.8164,10.9773,,2019-01-08,DM,2019-01-08,DM
PL0318,Salinas,36.6777,121.6555,,2019-01-08,DM,2019-01-08,DM
PL0319,Letychiv,49.385,27.6242,,2019-01-08,DM,2019-01-08,DM
PL0320,Friend,40.6536,97.2862,,2019-01-08,DM,2019-01-08,DM
PL0321,Dobrush,52.388249,31.342155,,2018-05-31,DM,2018-05-31,DM
PL0322,Pamplona,42.81687,-1.64323,,2018-05-31,DM,2018-05-31,DM
PL0323,Lviv,49.83826,24.02324,,2018-05-31,DM,2018-05-31,DM
PL0324,Marbach am Necker,48.9396,9.2646,,2018-05-31,DM,2018-05-31,DM
PL0325,Tokyo,35.6895,139.6917,,2018-05-31,DM,2018-05-31,DM
PL0326,Meishan,30.0773,103.8484,,2019-01-08,DM,2019-01-08,DM
PL0327,Krasnoyarsk,56.0153,92.8932,,2019-01-08,DM,2019-01-08,DM
PL0328,Shakhovskoye,52.625833,47.268611,,2019-01-08,DM,2019-01-08,DM
PL0351,Milan (OH),41.293333,-82.601389,,2018-04-26,WH,2018-08-12,WH
PL0352,Jianyang,30.24,104.32,,2018-05-03,WH,2018-05-03,WH
PL0353,Leiden,52.166667,4.483333,,2018-06-21,WH,2018-06-21,WH
PL0354,Mengzhou,34.907315,112.791401,,2018-06-21,WH,2018-06-21,WH
PL0355,Yuyao,30.037192,121.154634,,2018-07-09,WH,2018-07-09,WH
PL0356,Chuansha Xian,31.301395,121.516652,,2018-07-09,WH,2018-07-09,WH
PL0357,Nanchang,28.682892,115.858197,,2018-07-10,WH,2018-07-10,WH
PL0358,Sichuan Second Prison,29.58921,106.538559,The Sichuan Second Prison is now called Chongqing City Prison. PS00409,2018-08-15,WH,2018-09-10,DP
PL0359,Heishan,41.666028,122.123443,,2018-01-26,OS,2018-01-26,OS
PL0400,Pingyao,37.154444,112.143472,,2018-03-13,WH,2018-03-13,WH
PL0401,Skien,59.2086,9.60979,,2018-08-16,MG,2018-08-16,MG
PL0402,Ann Arbor,42.280827,-83.743034,,2018-10-16,LH,2018-10-16,LH
PL0403,Milano,45.46362,9.18812,,2018-10-19,MG,2018-10-19,MG
PL0404,Leipzig,51.339695,12.373075,,2018-10-26,MG,2018-10-26,MG
