person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,neibu_access,source_id_1,page_number_1,source_id_2,page_number_2,commentary,note,created,created_by,last_modified,last_modified_by
P0027,张,新华,zh,male,unknown,NULL,NULL,NULL,,,,,,,,SS00011,76 80,,,,,2017-07-05,LH,2018-02-07,WH
P0028,Zhang,Jiuxing,en,male,unknown,NULL,NULL,NULL,,"[1972, 1973]",,,,,,SS00011,76,,,,,2017-07-05,LH,2018-02-07,WH
P0028,张,久兴,zh,male,unknown,NULL,NULL,NULL,,"[1972, 1973]",,,,,,SS00011,76,,,,,2017-07-05,LH,2018-02-07,WH
P0029,Wu,Hong,en,male,yes,1969,1972,PL0005,1945,,,,PL0134,,yes,SS00011,78 80,https://www.douban.com/group/topic/33998632/,ONLINE SOURCE,he grew up in Beijing. Friend of Zhang Langlang,,2017-07-05,LH,2018-10-25,DP
P0029,巫,鸿,zh,male,yes,1969,1972,PL0005,1945,,,,PL0134,,yes,SS00011,78 80,https://www.douban.com/group/topic/33998632/,ONLINE SOURCE,he grew up in Beijing. Friend of Zhang Langlang,,2017-07-05,LH,2018-10-25,DP
P0030,Dong,Shabei,en,male,unknown,NULL,NULL,NULL,,,,,,,yes,SS00011,78,SS00112,51,,,2017-07-05,LH,2018-10-25,DP
P0030,董,沙贝,zh,male,unknown,NULL,NULL,NULL,,,,,,,yes,SS00011,78,SS00112,51,,,2017-07-05,LH,2018-10-25,DP
P0031,Huang,Guangzu,en,male,no,NULL,NULL,NULL,1946,,,,PL0012,S03,yes,SS00109,ONLINE SOURCE,http://irrc.swu.edu.cn/s/irrc/gw/20160415/902381.html,ONLINE SOURCE,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2017-07-05,LH,2018-01-18,OS
P0031,黄,光祖,zh,male,no,NULL,NULL,NULL,1946,,,,PL0012,S03,yes,SS00109,ONLINE SOURCE,http://irrc.swu.edu.cn/s/irrc/gw/20160415/902381.html,ONLINE SOURCE,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2017-07-05,LH,2018-01-18,OS
P0032,Zhu,Shixian,en,male,unknown,NULL,NULL,PL0006,1944,1972,,,PL0188,,yes,SS00109,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0032,朱,时贤,zh,male,unknown,NULL,NULL,PL0006,1944,1972,,,PL0188,,yes,SS00109,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0033,Zhou,Ziren,en,male,no,NULL,NULL,NULL,1945,,,,PL0004,S06,no,SS00116,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0033,周,孜仁,zh,male,no,NULL,NULL,NULL,1945,,,,PL0004,S06,no,SS00116,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0034,Zhou,Jiren,en,male,no,NULL,NULL,PL0006,,,Zhou Zhaoming,en,,,,SS00116,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0034,周,继仁,zh,male,no,NULL,NULL,PL0006,,,周照明,zh,,,,SS00116,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0035,Zhang,Kunquan,en,female,NULL,NULL,NULL,NULL,1926,,Shamo,en,PL0100,,,SS00117,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0035,张,坤权,zh,female,NULL,NULL,NULL,NULL,1926,,沙漠,zh,PL0100,,,SS00117,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0036,Huang,Zhongjing,en,male,NULL,NULL,NULL,NULL,1919,1988,,,PL0189,,,SS00118,ONLINE SOURCE,https://baike.baidu.com/item/%E9%BB%84%E4%B8%AD%E6%95%AC/8744306,,,,2017-07-05,LH,2018-03-13,WH
